question,source,retrieved_doc_ids
What information is stored in the conda.yaml file?,['models.html'],"['models.html', 'projects.html', 'tracking.html', 'cli.html']"
How can you save a model with a manually specified conda environment?,['models.html'],"['models.html', 'deployment/deploy-model-to-kubernetes/index.html', 'getting-started/quickstart-1/index.html', 'getting-started/quickstart-2/index.html']"
What are inference params and how are they used during model inference?,['models.html'],"['models.html', 'traditional-ml/hyperparameter-tuning-with-child-runs/index.html', 'getting-started/quickstart-2/index.html', 'llms/llm-tracking/index.html']"
What is the purpose of model signatures in MLflow?,['models.html'],"['models.html', 'model-registry.html', 'traditional-ml/index.html', 'traditional-ml/index.html']"
What is the API used to set signatures on models?,['models.html'],"['models.html', 'llms/gateway/index.html', 'model-registry.html', 'python_api/index.html']"
What components are used to generate the final time series?,['models.html'],"['models.html', 'introduction/index.html', 'introduction/index.html', 'tracking.html']"
What functionality does the configuration DataFrame submitted to the pyfunc flavor provide?,['models.html'],"['models.html', 'traditional-ml/creating-custom-pyfunc/index.html', 'community-model-flavors.html', 'llms/custom-pyfunc-for-llms/index.html']"
What is a common configuration for lowering the total memory pressure for pytorch models within transformers pipelines?,['models.html'],"['models.html', 'llms/custom-pyfunc-for-llms/index.html', 'llms/index.html', 'llms/index.html']"
What does the save_model() function do?,['models.html'],"['models.html', 'model-registry.html', 'deployment/deploy-model-to-kubernetes/index.html', 'getting-started/quickstart-1/index.html']"
What is an MLflow Project?,['projects.html'],"['projects.html', 'introduction/index.html', 'introduction/index.html', 'getting-started/quickstart-1/index.html']"
What are the entry points in a MLproject file and how can you specify parameters for them?,['projects.html'],"['projects.html', 'cli.html', 'llms/prompt-engineering/index.html', 'tracking.html']"
What are the project environments supported by MLflow?,['projects.html'],"['projects.html', 'deployment/index.html', 'deployment/index.html', 'traditional-ml/index.html']"
What is the purpose of the --build-image flag when running mlflow run?,['projects.html'],"['cli.html', 'models.html', 'getting-started/quickstart-2/index.html', 'tracking.html']"
What is the purpose of specifying a Conda environment in an MLflow project?,['projects.html'],"['projects.html', 'models.html', 'deployment/deploy-model-to-kubernetes/index.html', 'deployment/index.html']"
What is the purpose of the MLproject file?,['projects.html'],"['projects.html', 'introduction/index.html', 'introduction/index.html', 'models.html']"
How can you pass runtime parameters to the entry point of an MLflow Project?,['projects.html'],"['projects.html', 'cli.html', 'tracking.html', 'getting-started/quickstart-2/index.html']"
What is the relative path to the python_env YAML file within the MLflow project's directory?,['projects.html'],"['models.html', 'projects.html', 'python_api/index.html', 'tracking.html']"
What are the additional local volume mounted and environment variables in the docker container?,['projects.html'],"['tracking.html', 'cli.html', 'docker.html', 'models.html']"
How does MLflow run a Project on Kubernetes?,['projects.html'],"['projects.html', 'deployment/deploy-model-to-kubernetes/index.html', 'getting-started/quickstart-2/index.html', 'deployment/index.html']"
What fields are replaced when MLflow creates a Kubernetes Job for an MLflow Project?,['projects.html'],"['projects.html', 'models.html', 'tracking.html', 'deployment/deploy-model-to-kubernetes/index.html']"
What is the syntax for searching runs using the MLflow UI and API?,['search-runs.html'],"['search-runs.html', 'getting-started/quickstart-2/index.html', 'llms/prompt-engineering/index.html', 'tracking.html']"
What is the syntax for searching runs using the MLflow UI and API?,['search-runs.html'],"['search-runs.html', 'getting-started/quickstart-2/index.html', 'llms/prompt-engineering/index.html', 'tracking.html']"
What are the key parts of a search expression in MLflow?,['search-runs.html'],"['search-runs.html', 'models.html', 'introduction/index.html', 'introduction/index.html']"
What are some examples of entity names that contain special characters?,['search-runs.html'],"['tutorials-and-examples/index.html', 'models.html', 'search-runs.html', 'llms/index.html']"
What are the key attributes for the model with the run_id 'a1b2c3d4' and run_name 'my-run'?,['search-runs.html'],"['search-runs.html', 'tracking.html', 'models.html', 'cli.html']"
What type of constant does the RHS need to be if LHS is a metric?,['search-runs.html'],"['llms/llm-evaluate/index.html', 'model-evaluation/index.html', 'model-evaluation/index.html', 'models.html']"
"How can you get all active runs from experiments IDs 3, 4, and 17 that used a CNN model with 10 layers and had a prediction accuracy of 94.5% or higher?",['search-runs.html'],"['models.html', 'getting-started/quickstart-2/index.html', 'search-runs.html', 'tutorials-and-examples/index.html']"
What is the purpose of the 'experimentIds' variable in the given paragraph?,['search-runs.html'],"['search-experiments.html', 'cli.html', 'models.html', 'rest-api.html']"
What is the MLflow Tracking component used for?,['tracking.html'],"['introduction/index.html', 'introduction/index.html', 'tracking.html', 'llms/llm-tracking/index.html']"
What information does each run record in MLflow Tracking?,['tracking.html'],"['tracking.html', 'llms/llm-tracking/index.html', 'traditional-ml/hyperparameter-tuning-with-child-runs/index.html', 'getting-started/intro-quickstart/index.html']"
How can you create an experiment in MLflow?,['tracking.html'],"['getting-started/quickstart-1/index.html', 'getting-started/quickstart-2/index.html', 'models.html', 'getting-started/logging-first-model/index.html']"
How can you create an experiment using MLflow?,['tracking.html'],"['getting-started/quickstart-2/index.html', 'getting-started/quickstart-1/index.html', 'models.html', 'tutorials-and-examples/index.html']"
What are the two components used by MLflow for storage?,['tracking.html'],"['tracking.html', 'introduction/index.html', 'introduction/index.html', 'models.html']"
What interfaces does the MLflow client use to record MLflow entities and artifacts when running MLflow on a local machine with a SQLAlchemy-compatible database?,['tracking.html'],"['tracking.html', 'models.html', 'plugins.html', 'getting-started/quickstart-1/index.html']"
What is the default backend store used by MLflow?,['tracking.html'],"['tracking.html', 'plugins.html', 'models.html', 'cli.html']"
What is the architecture depicted in this example scenario?,['tracking.html'],"['tutorials-and-examples/index.html', 'models.html', 'deployment/deploy-model-to-kubernetes/index.html', 'traditional-ml/index.html']"
What information does autologging capture when launching short-lived MLflow runs?,['tracking.html'],"['tracking.html', 'getting-started/quickstart-1/index.html', 'llms/llm-tracking/index.html', 'models.html']"
What is the purpose of the --serve-artifacts flag?,['tracking.html'],"['tracking.html', 'cli.html', 'deployment/index.html', 'deployment/index.html']"
